Timestamp,ColorTemperature,Red,Green,Blue,IR,Movement,Lux
2020-02-21 00:00:14,1391,0,0,0,0,0,0
2020-02-21 00:00:29,1391,0,0,0,0,0,0
2020-02-21 00:00:44,1391,0,0,0,0,0,0
2020-02-21 00:00:59,1391,0,0,0,0,0,0
2020-02-21 00:01:14,1391,0,0,0,0,0,0
2020-02-21 00:01:29,1391,0,0,0,0,0,0
2020-02-21 00:01:44,1391,0,0,0,0,0,0
2020-02-21 00:01:59,1391,0,0,0,0,0,0
2020-02-21 00:02:14,1391,0,0,0,0,0,0
2020-02-21 00:02:29,1391,0,0,0,0,0,0
2020-02-21 00:02:44,1391,0,0,0,0,0,0
2020-02-21 00:02:59,1391,0,0,0,0,0,0
2020-02-21 00:03:14,1391,0,0,0,0,0,0
2020-02-21 00:03:29,1391,0,0,0,0,0,0
2020-02-21 00:03:44,1391,0,0,0,0,0,0
2020-02-21 00:03:59,1391,0,0,0,0,0,0
2020-02-21 00:04:14,1391,0,0,0,0,0,0
2020-02-21 00:04:29,1391,0,0,0,0,0,0
2020-02-21 00:04:44,1391,0,0,0,0,0,0
2020-02-21 00:04:59,1391,0,0,0,0,0,0
2020-02-21 00:05:14,1391,0,0,0,0,0,0
2020-02-21 00:05:29,1391,0,0,0,0,0,0
2020-02-21 00:05:44,1391,0,0,0,0,0,0
2020-02-21 00:05:59,1391,0,0,0,0,0,0
2020-02-21 00:06:14,1391,0,0,0,0,0,0
2020-02-21 00:06:29,1391,0,0,0,0,0,0
2020-02-21 00:06:44,1391,0,0,0,0,0,0
2020-02-21 00:06:59,1391,0,0,0,0,0,0
2020-02-21 00:07:14,1391,0,0,0,0,0,0
2020-02-21 00:07:29,1391,0,0,0,0,0,0
2020-02-21 00:07:44,1391,0,0,0,0,0,0
2020-02-21 00:07:59,1391,0,0,0,0,0,0
2020-02-21 00:08:14,1391,0,0,0,0,0,0
2020-02-21 00:08:29,1391,0,0,0,0,0,0
2020-02-21 00:08:44,1391,0,0,0,0,0,0
2020-02-21 00:08:59,1391,0,0,0,0,0,0
2020-02-21 00:09:14,1391,0,0,0,0,0,0
2020-02-21 00:09:29,1391,0,0,0,0,0,0
2020-02-21 00:09:44,1391,0,0,0,0,0,0
2020-02-21 00:09:59,1391,0,0,0,0,0,0
2020-02-21 00:10:14,1391,0,0,0,0,0,0
2020-02-21 00:10:29,1391,0,0,0,0,0,0
2020-02-21 00:10:44,1391,0,0,0,0,0,0
2020-02-21 00:10:59,1391,0,0,0,0,0,0
